Site,site_Treatment, LON (NAD83 MTM (Modified Transverse Mercator) zone 6),LAT (NAD83 MTM (Modified Transverse Mercator) zone 6),LON E,LAT N
2010,6,21,0.2,0,7.5
2010,6,22,0,0.9,7.5
2010,6,23,1.8,40.3,10.6
2010,6,24,21.9,20.9,12.9
2010,6,25,0.8,0.6,7.9
2010,6,26,0,4.6,3.3
2010,6,27,1.7,24.6,0.5
2010,6,28,5.3,33,2.5
2010,6,29,8.3,4.9,6.1
2010,6,30,0,2.6,7.6
2010,7,1,2.1,1.5,6
2010,7,2,0,0.5,3.8
2010,7,3,0,1.4,10
2010,7,4,0,1.4,12.2
2010,7,5,19.7,14.6,10.6
2010,7,6,0,0.5,10.2
2010,7,7,0.5,3.3,13.8
2010,7,8,8.8,7.8,16.8
2010,7,9,15.5,149.7,20
2010,7,10,8.2,0.1,15.6
2010,7,11,5.3,0.2,13.9
2010,7,12,0.4,22.7,14.5
2010,7,13,14.3,79.7,15.4
2010,7,14,0,0.5,16.1
2010,7,15,0.3,4,12.2
2010,7,16,11.4,24.5,13.5
2010,7,17,3.3,60.7,15.5
2010,7,18,0.7,5.5,14.9
2010,7,19,0.1,14.6,11.4
2010,7,20,0,1.7,12.8
2010,7,21,0,39,9.4
2010,7,22,0,0.3,12.7
2010,7,23,0,1.8,10.7
2010,7,24,8,18.5,9.1
2010,7,25,3.9,0.6,13.9
2010,7,26,2.8,0.2,9.9
2010,7,27,0.2,0.2,11.5
2010,7,28,0.7,3.6,8.9
2010,7,29,1.3,0.2,13.5
2010,7,30,0,0.3,9.4
2010,7,31,0.2,0,7.9
2010,8,1,0,0,4.6
2010,8,2,0,89.1,7.5
2010,8,3,0,137.3,11.7
2010,8,4,0.5,72.7,11.2
2010,8,5,1.6,24,16.2
2010,8,6,0,0.6,13.8
2010,8,7,0,0.1,3.8
2010,8,8,0,20.9,6
2010,8,9,0.1,0.3,11.8
2010,8,10,0,14.5,11.1
2010,8,11,0.4,0,6.5
2010,8,12,0,0.5,4.8
2010,8,13,0,0.2,7.4
2010,8,14,0,6.9,8.3
2010,8,15,0,60.1,12.5
2010,8,16,0.9,35.4,10.5
2010,8,17,6.7,3.7,12.2
2010,8,18,0,0.2,8.8
2010,8,19,0,2,7.4
2010,8,20,18.4,1,8.9
2010,8,21,0,6.3,6.1
2010,8,22,0.6,4.4,6.4
2010,8,23,0,0,8.9
2010,8,24,0.3,0,5.9
2010,8,25,4.8,2.3,7.7
2010,8,26,1.7,6,11.6
2010,8,27,0.2,1.1,10.7
2010,8,28,0,0.2,6.3
2010,8,29,0.3,0,7.3
2010,8,30,0,0.1,11.9
2010,8,31,1.3,0.8,12.9
2010,9,1,0,1.9,15.5
2010,9,2,0.1,20.4,16.5
2010,9,3,0.1,11.2,7.2
2010,9,4,47.9,10.5,11.9
2010,9,5,1.7,2.5,9.6
2010,9,6,0,7.4,6
2010,9,7,0,23.4,5.9
2010,9,8,23.4,31.7,1.4
2010,9,9,8.7,5.6,7.2
2010,9,10,5,0.7,6.9
2010,9,11,0,0,3.8
2010,9,12,0,3,-0.7
2010,9,13,0.5,12.3,4.3
2010,9,14,2.6,6.2,6.3
2010,9,15,9.7,1.5,7.8
2010,9,16,2,6.4,6.7
2010,9,17,0,0,1.6
2010,9,18,2.2,0.7,2.7
2010,9,19,0,0,6.3
2010,9,20,0.2,0.1,0.3
2010,9,21,0.5,5.4,2.4
2010,9,22,0,0.2,3.6
2010,9,23,0,9,4.3
2010,9,24,13.3,26.3,-1.3
2010,9,25,7.1,3.6,1.8
